churn,MonthlyRevenue,TotalRecurringCharge,OverageMinutes,PercChangeRevenues,MonthlyMinutes,PercChangeMinutes,RoamingCalls,DroppedCalls,BlockedCalls,CustomerCareCalls,MonthsInService,CurrentEquipmentDays,HandsetPrice,HandsetRefurbished,HandsetWebCapable,AgeHH1,CreditRating,IncomeGroup,Occupation,ReferralsMadeBySubscriber
No,39.79,55.0,0.0,8.8,234.0,31.0,1.7,6.7,0.7,0.0,7,211.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,60.19,60.0,0.0,-10.2,551.0,-88.0,0.3,2.7,32.7,0.0,11,122.0,150,No,Yes,30.0,2-High,7,Crafts,0
No,85.41,28.0,134.0,22.8,642.0,129.0,0.0,29.7,0.0,4.3,13,393.0,Unknown,No,Yes,44.0,2-High,4,Crafts,0
Yes,30.18,30.0,0.0,-0.2,281.0,132.0,0.0,4.0,0.0,5.3,20,465.0,150,No,Yes,0.0,3-Good,3,Other,0
Yes,179.29,95.0,118.0,-77.0,1459.0,-1360.0,48.6,21.7,11.0,0.0,12,349.0,Unknown,No,Yes,42.0,3-Good,4,Other,0
Yes,50.0,50.0,0.0,0.0,403.0,-8.0,0.0,6.7,2.0,0.0,26,459.0,130,No,Yes,48.0,2-High,1,Other,0
Yes,89.73,95.0,0.0,-0.7,416.0,-108.0,0.0,10.0,11.0,0.0,11,326.0,Unknown,No,Yes,0.0,3-Good,0,Other,0
Yes,141.45,20.0,344.0,-92.3,654.0,46.0,0.0,5.0,5.7,0.0,18,32.0,10,No,Yes,34.0,4-Medium,2,Other,0
No,62.85,50.0,0.0,6.3,524.0,159.0,0.0,4.7,0.0,0.0,23,321.0,30,No,Yes,60.0,3-Good,2,Other,0
No,45.59,30.0,38.0,4.8,307.0,55.0,0.0,1.7,6.7,0.0,34,276.0,80,No,Yes,46.0,3-Good,5,Professional,0
Yes,127.47,33.0,35.0,,596.0,,78.6,17.3,0.7,1.7,19,566.0,Unknown,No,Yes,22.0,7-Lowest,2,Other,0
No,27.79,33.0,11.0,9.0,29.0,47.0,0.0,0.3,0.0,0.0,33,45.0,30,No,Yes,42.0,1-Highest,6,Other,0
No,38.41,40.0,20.0,15.8,354.0,68.0,0.3,4.0,7.3,5.3,14,413.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,86.23,50.0,114.0,-44.3,816.0,-299.0,0.0,7.0,0.3,0.0,17,137.0,150,No,Yes,0.0,4-Medium,0,Other,0
No,62.84,70.0,14.0,7.6,773.0,-114.0,0.0,1.0,3.0,3.7,16,486.0,Unknown,No,Yes,36.0,2-High,9,Other,1
No,104.6,57.0,16.0,-67.1,608.0,-580.0,58.8,1.0,4.7,3.0,6,189.0,Unknown,No,Yes,0.0,5-Low,0,Other,0
No,30.57,30.0,0.0,0.0,29.0,12.0,0.0,0.3,0.3,0.0,31,940.0,Unknown,No,No,56.0,1-Highest,5,Professional,0
No,42.92,36.0,16.0,-2.6,199.0,-48.0,0.0,1.3,3.7,0.0,33,246.0,30,No,Yes,42.0,5-Low,6,Other,0
No,35.26,50.0,0.0,4.7,359.0,-64.0,0.0,4.7,11.3,12.0,7,202.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,92.18,80.0,60.0,11.6,1014.0,627.0,0.0,4.0,5.0,2.7,18,546.0,Unknown,Yes,Yes,0.0,4-Medium,3,Other,0
No,37.47,45.0,0.0,3.5,226.0,-16.0,0.0,1.3,2.0,1.3,9,259.0,Unknown,No,Yes,22.0,4-Medium,3,Other,0
No,33.49,30.0,0.0,-3.5,142.0,-142.0,2.3,1.3,9.0,0.0,11,343.0,Unknown,No,Yes,0.0,7-Lowest,0,Other,0
No,33.93,30.0,9.0,8.7,260.0,76.0,0.8,1.0,3.0,1.0,23,679.0,Unknown,No,Yes,32.0,2-High,7,Professional,0
No,183.9,105.0,293.0,169.1,1774.0,985.0,5.2,10.3,15.7,0.0,12,133.0,150,No,Yes,0.0,4-Medium,0,Other,0
No,53.23,50.0,7.0,6.4,368.0,167.0,1.3,6.0,11.7,0.0,14,419.0,Unknown,No,Yes,0.0,2-High,0,Other,0
No,69.53,70.0,0.0,3.8,332.0,102.0,0.0,6.0,1.0,2.0,7,149.0,130,No,Yes,0.0,5-Low,3,Other,0
No,46.4,50.0,0.0,-1.1,79.0,26.0,0.0,1.0,0.0,5.3,9,255.0,Unknown,No,Yes,44.0,4-Medium,5,Other,0
No,63.63,45.0,71.0,-0.6,595.0,-97.0,0.0,8.0,16.3,0.0,11,49.0,130,No,Yes,0.0,2-High,1,Other,0
No,35.74,32.0,0.0,0.0,26.0,-12.0,0.0,1.7,0.3,0.0,19,579.0,Unknown,No,Yes,58.0,2-High,9,Other,0
No,85.98,56.0,195.0,20.4,758.0,-6.0,0.0,7.7,0.7,1.3,21,624.0,Unknown,No,Yes,28.0,2-High,6,Other,1
No,30.48,30.0,0.0,1.5,100.0,20.0,0.0,2.7,0.3,0.0,15,462.0,Unknown,No,Yes,34.0,2-High,9,Professional,0
Yes,48.6,26.0,68.0,-64.9,1156.0,-606.0,2.3,9.7,10.7,11.7,8,225.0,Unknown,No,Yes,0.0,5-Low,1,Other,0
No,35.34,45.0,0.0,-0.4,10.0,-7.0,0.4,0.0,0.0,0.0,7,208.0,Unknown,No,Yes,56.0,3-Good,9,Professional,0
Yes,124.54,100.0,94.0,1.2,1363.0,41.0,0.0,11.3,15.7,4.7,25,245.0,130,No,Yes,46.0,2-High,5,Professional,0
No,31.46,30.0,2.0,0.2,223.0,-47.0,1.1,5.0,1.7,1.0,21,312.0,130,Yes,Yes,36.0,2-High,6,Clerical,0
No,33.24,40.0,0.0,0.0,54.0,0.0,0.0,3.0,0.0,0.0,26,777.0,Unknown,No,No,36.0,1-Highest,9,Other,0
No,154.3,45.0,314.0,-5.0,764.0,37.0,1.1,0.0,0.0,0.0,10,300.0,Unknown,No,Yes,0.0,2-High,0,Other,0
Yes,10.0,10.0,0.0,0.0,50.0,-36.0,0.0,1.0,0.0,0.0,23,685.0,Unknown,No,Yes,36.0,2-High,7,Other,0
No,31.56,27.0,0.0,-17.6,263.0,89.0,0.0,1.3,7.0,0.0,19,45.0,100,Yes,Yes,0.0,1-Highest,0,Other,0
No,96.04,85.0,41.0,-17.8,2634.0,-704.0,0.9,10.0,21.7,5.3,24,132.0,30,No,Yes,52.0,5-Low,8,Other,0
No,45.31,45.0,2.0,-1.2,580.0,34.0,5.5,3.3,10.7,2.7,6,196.0,Unknown,No,Yes,24.0,2-High,2,Other,0
No,34.99,45.0,0.0,0.0,450.0,76.0,0.0,6.0,0.7,1.7,11,305.0,Unknown,No,Yes,,4-Medium,0,Other,0
No,37.34,33.0,10.0,-24.8,213.0,131.0,0.3,1.7,0.7,0.0,31,30.0,30,No,Yes,30.0,1-Highest,9,Other,0
No,33.67,30.0,10.0,11.0,302.0,76.0,0.0,2.0,0.0,0.0,25,105.0,150,Yes,Yes,48.0,2-High,6,Other,0
No,29.99,30.0,0.0,0.0,14.0,9.0,0.0,0.0,0.7,0.0,18,519.0,Unknown,No,Yes,78.0,2-High,4,Other,0
No,133.57,60.0,196.0,3.6,897.0,-10.0,0.0,1.0,7.3,0.0,22,179.0,100,No,Yes,0.0,1-Highest,0,Other,0
No,28.74,30.0,0.0,0.7,174.0,20.0,0.0,1.0,0.0,9.0,17,112.0,130,Yes,Yes,64.0,2-High,7,Other,1
Yes,54.57,60.0,0.0,-24.6,110.0,14.0,0.0,1.3,1.3,0.0,8,30.0,200,No,Yes,0.0,2-High,4,Other,0
Yes,166.88,60.0,271.0,34.7,1722.0,1113.0,0.6,18.3,14.3,14.0,7,7.0,150,No,Yes,,5-Low,0,Other,0
No,87.73,50.0,0.0,-37.7,340.0,6.0,0.0,2.0,5.3,4.7,17,462.0,30,Yes,Yes,54.0,2-High,6,Other,1
No,53.98,30.0,68.0,-0.2,228.0,15.0,0.2,1.7,0.3,0.0,29,144.0,130,No,Yes,58.0,1-Highest,8,Other,0
No,34.91,40.0,8.0,8.0,237.0,120.0,0.2,0.0,0.0,0.0,13,366.0,Unknown,No,Yes,0.0,5-Low,0,Other,0
No,10.9,10.0,0.0,-0.9,404.0,-57.0,0.9,2.0,3.0,0.0,21,635.0,Unknown,No,Yes,50.0,1-Highest,8,Other,0
No,36.65,40.0,18.0,-6.7,312.0,-162.0,0.0,0.0,0.0,0.0,8,240.0,Unknown,No,Yes,32.0,2-High,6,Other,0
No,44.36,45.0,18.0,26.1,595.0,-49.0,2.4,0.0,0.0,0.0,14,407.0,Unknown,No,Yes,48.0,4-Medium,6,Other,0
No,68.5,77.0,0.0,-26.4,160.0,-126.0,0.0,8.3,3.0,0.0,14,410.0,Unknown,No,No,0.0,3-Good,0,Other,0
No,66.03,50.0,23.0,-12.0,1665.0,475.0,2.5,20.0,1.3,2.3,8,241.0,Unknown,No,Yes,22.0,3-Good,2,Other,0
Yes,30.52,30.0,0.0,-0.5,640.0,-109.0,0.0,11.3,0.3,7.3,11,322.0,Unknown,No,Yes,40.0,2-High,7,Other,0
No,100.58,60.0,169.0,-52.1,867.0,-396.0,0.2,17.0,0.0,1.7,22,310.0,10,No,Yes,0.0,5-Low,6,Other,0
No,83.52,50.0,132.0,-32.3,421.0,-111.0,0.0,0.7,13.0,0.3,12,362.0,Unknown,No,Yes,26.0,2-High,6,Professional,0
No,50.28,60.0,8.0,-0.3,746.0,-30.0,0.0,4.0,4.0,6.7,29,141.0,150,Yes,Yes,54.0,1-Highest,7,Professional,0
No,19.95,20.0,0.0,0.0,10.0,6.0,0.0,0.3,0.0,0.0,45,1375.0,Unknown,No,No,0.0,1-Highest,0,Other,0
No,38.2,45.0,0.0,-3.2,911.0,-76.0,0.0,12.0,3.3,18.0,8,236.0,Unknown,No,Yes,46.0,5-Low,3,Other,0
No,100.56,50.0,150.0,14.0,604.0,198.0,0.0,5.7,1.0,9.3,16,496.0,Unknown,No,Yes,38.0,5-Low,8,Other,0
Yes,77.28,32.0,152.0,-39.5,577.0,-184.0,4.9,9.0,1.0,0.0,36,179.0,30,No,Yes,42.0,1-Highest,9,Professional,0
No,148.82,120.0,5.0,-17.0,1558.0,-134.0,0.5,12.0,0.0,6.7,32,103.0,150,Yes,Yes,52.0,3-Good,7,Other,0
Yes,68.57,10.0,54.0,80.1,133.0,139.0,0.0,0.3,2.0,2.0,19,566.0,Unknown,No,No,0.0,4-Medium,0,Other,0
No,30.0,40.0,0.0,0.0,22.0,-16.0,0.0,0.0,0.0,0.0,13,402.0,Unknown,No,Yes,58.0,5-Low,6,Other,0
No,112.91,16.0,111.0,328.8,332.0,304.0,0.0,0.3,11.7,1.7,20,83.0,80,Yes,Yes,22.0,3-Good,4,Other,0
